waktu(ms),kec_motor_kiri,kec_motor_kanan,x,y,kompas,heading
2030,0.00000,0.00000,-0.00,0.01,206,0
4032,0.00000,0.00000,-0.00,0.02,193,0
6033,-0.00029,-0.00023,-0.00,0.03,207,0
8034,0.00029,0.00000,-0.00,0.04,207,0
10035,0.00000,0.00000,-0.00,0.05,214,0
12036,0.00058,-0.00023,-0.00,0.06,207,0
14037,0.00029,0.00000,-0.00,0.07,203,0
16038,0.00058,-0.00023,-0.00,0.08,199,0
18039,0.00029,-0.00023,-0.00,0.09,201,0
20040,-0.00029,0.00023,-0.00,0.10,208,0
22041,-0.00058,0.00023,-0.00,0.11,197,0
24042,0.00029,-0.00023,-0.00,0.12,205,0
26043,0.00029,-0.00045,-0.00,0.13,217,0
28044,0.00058,-0.00045,-0.00,0.14,206,0
30045,-0.00029,0.00023,-0.00,0.15,201,0
32046,0.00029,-0.00023,-0.00,0.16,209,0
34047,-0.00029,0.00000,-0.00,0.17,206,0
36048,0.00000,0.00000,-0.00,0.18,209,0
38049,0.00029,0.00000,-0.00,0.20,205,0
40050,-0.00029,0.00023,-0.00,0.21,204,0
42051,0.00000,0.00000,-0.00,0.22,202,0
44052,-0.00058,0.00045,-0.00,0.23,196,0
46053,-0.00029,0.00000,-0.00,0.24,207,0
48054,0.00000,0.00023,-0.00,0.25,200,0
50055,0.00029,-0.00023,-0.00,0.26,207,0
52056,-0.00029,0.00023,-0.00,0.27,202,0
54057,0.00000,0.00000,-0.00,0.28,206,0
56058,0.00000,0.00000,-0.00,0.28,206,0
58059,0.00058,-0.00023,-0.00,0.29,206,0
60060,-0.00029,0.00000,-0.00,0.30,201,0
62061,0.00000,0.00000,-0.00,0.31,198,0
64062,0.00029,-0.00045,-0.00,0.32,203,0
66063,0.00029,0.00000,-0.00,0.33,214,0
68064,0.00000,0.00000,-0.00,0.33,206,0
70065,-0.00029,0.00023,-0.00,0.34,204,0
72066,-0.00029,0.00023,-0.00,0.35,205,0
74067,0.00000,0.00023,-0.00,0.36,204,0
76068,0.00029,-0.00023,-0.00,0.36,200,0
78069,0.00000,0.00023,-0.00,0.37,202,0
80070,0.00000,-0.00023,-0.00,0.37,208,0
82071,0.00029,0.00000,-0.00,0.38,203,0
84072,0.00029,-0.00023,-0.00,0.38,204,0
86073,-0.00029,0.00023,-0.00,0.39,202,0
88074,0.00000,0.00045,-0.00,0.40,201,0
90075,-0.00029,0.00023,-0.00,0.42,198,0
92076,0.00058,0.00000,-0.00,0.43,205,0
94077,0.00029,0.00000,-0.00,0.44,198,0
96078,0.00029,0.00000,-0.00,0.46,205,0
98079,-0.00029,0.00045,-0.00,0.47,201,0
100080,-0.00029,0.00023,-0.00,0.48,199,0
102081,-0.00029,0.00045,-0.00,0.48,207,0
104082,-0.00029,0.00000,-0.00,0.49,191,0
106083,-0.00029,0.00023,-0.00,0.50,204,0
108084,0.00000,0.00023,-0.00,0.51,196,0
110085,-0.00029,0.00023,-0.00,0.51,204,0
112086,0.00000,0.00023,-0.00,0.52,202,0
114087,0.00000,0.00000,-0.00,0.53,213,0
116088,0.00000,-0.00023,-0.00,0.54,210,0
118089,0.00000,0.00023,-0.00,0.55,208,0
120090,0.00000,0.00023,-0.00,0.56,204,0
122091,-0.00058,0.00045,-0.00,0.56,208,0
124092,-0.00029,0.00023,-0.00,0.57,210,0
126093,0.00000,0.00000,-0.00,0.58,198,0
128094,0.00000,-0.00023,-0.00,0.59,201,0
130095,0.00000,0.00000,-0.00,0.59,210,0
132096,0.00000,0.00023,-0.00,0.60,211,0
134097,0.00000,0.00000,-0.00,0.61,205,0
136098,0.00000,0.00023,-0.00,0.61,210,0
138099,0.00029,-0.00023,-0.00,0.62,211,0
140100,0.00000,0.00000,-0.00,0.63,216,0
142101,-0.00029,0.00023,-0.00,0.64,210,0
144102,-0.00029,0.00045,-0.00,0.65,203,0
146103,-0.00029,0.00000,-0.00,0.66,203,0
148104,0.00029,-0.00023,-0.00,0.67,208,0
150105,0.00000,-0.00023,-0.00,0.68,206,0
152106,0.00000,-0.00023,-0.00,0.68,206,0
154107,-0.00029,0.00023,-0.00,0.69,210,0
156108,-0.00029,0.00023,-0.00,0.70,208,0
158109,0.00000,0.00023,-0.00,0.71,214,0
160110,0.00029,0.00000,-0.00,0.72,210,0
162111,-0.00029,0.00045,-0.00,0.72,210,0
164112,0.00058,-0.00023,-0.00,0.73,207,0
166113,0.00029,-0.00023,-0.00,0.74,207,0
168114,0.00029,-0.00023,-0.00,0.75,208,0
170115,0.00000,0.00023,-0.00,0.76,204,0
172116,-0.00029,0.00000,-0.00,0.77,214,0
174117,0.00000,0.00023,-0.00,0.78,208,0
176118,0.00000,0.00000,-0.00,0.79,209,0
178119,0.00000,0.00023,-0.00,0.80,210,0
180120,0.00029,-0.00023,-0.00,0.80,211,0
182121,0.00029,-0.00023,-0.00,0.82,208,0
184122,0.00000,-0.00023,-0.00,0.82,207,0
186123,0.00058,-0.00023,-0.00,0.83,198,0
188124,0.00000,0.00000,-0.00,0.83,208,0
190125,0.00000,0.00023,-0.00,0.84,200,0
192126,0.00000,0.00045,-0.00,0.84,198,0
194127,0.00000,0.00000,-0.00,0.85,204,0
196128,-0.00029,0.00023,-0.00,0.85,212,0
198129,-0.00029,0.00000,-0.00,0.86,210,0
200130,-0.00029,0.00023,-0.00,0.88,208,0
202131,-0.00058,0.00023,-0.00,0.88,212,0
204132,0.00000,0.00023,-0.00,0.89,208,0
206133,0.00000,0.00000,-0.00,0.90,211,0
208134,0.00000,0.00023,-0.00,0.92,201,0
210135,-0.00029,0.00000,-0.00,0.92,209,0
212136,-0.00029,0.00023,-0.00,0.93,208,0
214137,0.00029,0.00000,-0.00,0.94,200,0
216138,0.00000,0.00000,-0.00,0.95,210,0
218139,0.00058,-0.00023,-0.00,0.96,211,0
220140,0.00058,-0.00045,-0.00,0.97,211,0
222141,-0.00029,-0.00023,-0.00,0.98,210,0
224142,0.00000,0.00000,-0.00,0.99,212,0
226143,0.00000,0.00000,-0.00,1.00,204,0
