waktu(ms),kec_motor_kiri,kec_motor_kanan,x,y,kompas,heading
55,0.00096,0.00073,0.00,0.00,0,0
82,0.00128,0.00098,0.00,0.01,0,0
108,0.00191,0.00122,0.00,0.02,0,0
134,0.00191,0.00146,0.00,0.02,0,-1
160,0.00191,0.00146,0.00,0.03,0,-1
186,0.00223,0.00171,0.00,0.04,0,-1
212,0.00223,0.00171,0.00,0.05,0,-2
237,0.00191,0.00171,0.00,0.06,0,-2
262,0.00191,0.00171,0.00,0.07,0,-2
287,0.00223,0.00146,0.00,0.08,0,-3
312,0.00223,0.00171,0.00,0.09,0,-3
337,0.00191,0.00146,0.00,0.10,0,-3
362,0.00191,0.00171,0.00,0.10,0,-3
387,0.00223,0.00171,0.00,0.11,0,-4
412,0.00223,0.00171,0.01,0.12,0,-4
437,0.00191,0.00146,0.01,0.13,0,-4
462,0.00191,0.00171,0.01,0.14,0,-5
487,0.00128,0.00171,0.01,0.15,0,-4
512,0.00223,0.00171,0.01,0.16,0,-5
537,0.00191,0.00171,0.01,0.17,0,-5
562,0.00191,0.00171,0.01,0.17,0,-5
587,0.00128,0.00146,0.01,0.18,0,-5
612,0.00191,0.00146,0.01,0.19,0,-5
637,0.00128,0.00146,0.01,0.20,0,-6
662,0.00160,0.00146,0.01,0.21,0,-6
687,0.00191,0.00146,0.01,0.22,0,-6
712,0.00223,0.00146,0.02,0.22,0,-6
737,0.00191,0.00171,0.02,0.23,0,-7
762,0.00191,0.00171,0.02,0.24,0,-7
787,0.00160,0.00171,0.02,0.25,0,-7
812,0.00191,0.00146,0.02,0.26,0,-7
837,0.00160,0.00171,0.02,0.27,0,-8
862,0.00191,0.00146,0.02,0.28,0,-8
887,0.00223,0.00146,0.02,0.29,0,-8
912,0.00223,0.00171,0.02,0.30,0,-8
937,0.00191,0.00171,0.03,0.30,0,-9
962,0.00128,0.00146,0.03,0.31,0,-9
987,0.00191,0.00171,0.03,0.32,0,-9
1012,0.00191,0.00171,0.03,0.33,0,-9
1037,0.00223,0.00171,0.03,0.34,327,-10
1063,0.00191,0.00171,0.03,0.35,328,-10
1089,0.00223,0.00171,0.04,0.36,327,-10
1115,0.00191,0.00146,0.04,0.37,329,-11
1141,0.00223,0.00146,0.04,0.38,329,-11
1167,0.00223,0.00146,0.04,0.38,328,-11
1193,0.00191,0.00171,0.04,0.39,329,-12
1219,0.00160,0.00171,0.04,0.40,328,-12
1245,0.00191,0.00171,0.05,0.41,328,-12
1271,0.00223,0.00171,0.05,0.42,330,-12
1297,0.00255,0.00195,0.05,0.43,327,-13
1323,0.00191,0.00171,0.05,0.44,329,-13
1349,0.00223,0.00195,0.05,0.45,329,-13
1375,0.00191,0.00146,0.06,0.45,328,-13
1400,0.00191,0.00171,0.06,0.46,328,-13
1425,0.00223,0.00146,0.06,0.47,330,-14
1451,0.00160,0.00171,0.06,0.48,328,-14
1477,0.00064,0.00171,0.07,0.49,329,-14
1503,0.00191,0.00171,0.07,0.50,328,-14
1529,0.00223,0.00171,0.07,0.51,328,-14
1555,0.00191,0.00171,0.07,0.51,327,-14
1581,0.00223,0.00171,0.07,0.52,328,-15
1607,0.00128,0.00171,0.08,0.53,329,-15
1633,0.00191,0.00171,0.08,0.54,329,-15
1659,0.00160,0.00171,0.08,0.55,329,-15
1685,0.00160,0.00171,0.08,0.56,327,-15
1711,0.00191,0.00171,0.09,0.57,329,-15
1737,0.00191,0.00146,0.09,0.58,329,-16
1763,0.00160,0.00171,0.09,0.58,329,-16
1789,0.00160,0.00171,0.09,0.59,329,-16
1815,0.00191,0.00171,0.10,0.60,328,-16
1841,0.00191,0.00146,0.10,0.61,328,-16
1866,0.00223,0.00171,0.10,0.62,327,-17
1891,0.00160,0.00171,0.10,0.63,328,-17
1917,0.00223,0.00146,0.11,0.63,330,-17
1943,0.00223,0.00171,0.11,0.64,330,-17
1969,0.00191,0.00171,0.11,0.65,328,-18
1995,0.00223,0.00171,0.12,0.66,329,-18
2021,0.00223,0.00171,0.12,0.67,328,-18
2047,0.00160,0.00171,0.12,0.68,328,-18
2073,0.00160,0.00171,0.12,0.69,328,-18
2099,0.00191,0.00171,0.13,0.70,327,-19
2125,0.00223,0.00171,0.13,0.70,328,-19
2151,0.00255,0.00195,0.13,0.71,328,-19
2177,0.00191,0.00146,0.14,0.72,328,-20
2203,0.00223,0.00171,0.14,0.73,329,-20
2229,0.00160,0.00146,0.14,0.74,329,-20
2254,0.00191,0.00146,0.15,0.75,329,-20
2280,0.00223,0.00171,0.15,0.76,329,-21
