waktu(ms),kec_motor_kiri,kec_motor_kanan,x,y,kompas,heading
55,-0.00032,0.00049,0.00,0.00,0,0
81,0.00160,0.00122,-0.00,0.01,0,0
107,0.00191,0.00122,0.00,0.01,0,0
133,0.00191,0.00146,0.00,0.02,0,0
159,0.00160,0.00146,0.00,0.03,0,0
185,0.00191,0.00146,0.00,0.04,0,0
211,0.00160,0.00146,0.00,0.04,0,0
237,0.00160,0.00171,0.00,0.05,0,-1
263,0.00128,0.00146,0.00,0.06,0,-1
289,0.00160,0.00146,0.00,0.07,0,-1
315,0.00160,0.00146,0.00,0.08,0,-1
341,0.00096,0.00171,0.00,0.09,0,-1
367,0.00191,0.00146,0.00,0.10,0,-1
393,0.00191,0.00146,0.00,0.11,0,-2
418,0.00223,0.00171,0.00,0.12,0,-2
443,0.00160,0.00146,0.00,0.12,0,-2
468,0.00223,0.00171,0.00,0.13,0,-2
493,0.00160,0.00146,0.00,0.14,0,-2
518,0.00160,0.00146,0.00,0.15,0,-3
543,0.00191,0.00171,0.00,0.16,0,-3
568,0.00223,0.00171,0.00,0.17,0,-3
593,0.00223,0.00146,0.01,0.17,0,-3
618,0.00191,0.00146,0.01,0.18,0,-3
643,0.00191,0.00146,0.01,0.19,0,-3
668,0.00223,0.00146,0.01,0.20,0,-3
693,0.00128,0.00171,0.01,0.20,0,-3
718,0.00191,0.00146,0.01,0.21,0,-3
743,0.00128,0.00146,0.01,0.22,0,-3
768,0.00223,0.00146,0.01,0.23,0,-4
793,0.00191,0.00171,0.01,0.24,0,-4
818,0.00223,0.00171,0.01,0.25,0,-4
843,0.00128,0.00146,0.01,0.25,0,-4
868,0.00128,0.00146,0.01,0.26,0,-4
893,0.00128,0.00146,0.01,0.27,0,-4
918,0.00191,0.00171,0.01,0.28,0,-5
943,0.00191,0.00146,0.01,0.29,0,-5
968,0.00160,0.00146,0.01,0.29,0,-5
993,0.00191,0.00146,0.02,0.30,0,-5
1018,0.00160,0.00146,0.02,0.31,0,-5
1043,0.00223,0.00171,0.02,0.32,335,-5
1069,0.00191,0.00146,0.02,0.33,333,-5
1095,0.00160,0.00171,0.02,0.34,330,-5
1121,0.00191,0.00171,0.02,0.34,334,-6
1147,0.00191,0.00146,0.02,0.35,333,-6
1173,0.00160,0.00171,0.02,0.36,335,-6
1199,0.00223,0.00146,0.02,0.37,331,-6
1225,0.00255,0.00195,0.02,0.38,335,-6
1251,0.00160,0.00146,0.02,0.39,332,-7
1277,0.00191,0.00171,0.03,0.40,333,-7
1303,0.00191,0.00171,0.03,0.41,333,-7
1329,0.00223,0.00195,0.03,0.41,333,-7
1355,0.00128,0.00146,0.03,0.42,334,-7
1381,0.00128,0.00146,0.03,0.43,333,-7
1407,0.00191,0.00146,0.03,0.44,335,-7
1433,0.00223,0.00171,0.03,0.45,331,-7
1459,0.00128,0.00171,0.03,0.45,334,-7
1485,0.00160,0.00171,0.03,0.46,334,-7
1511,0.00128,0.00146,0.04,0.47,330,-7
1537,0.00191,0.00171,0.04,0.48,332,-7
1563,0.00160,0.00146,0.04,0.49,333,-8
1589,0.00160,0.00146,0.04,0.50,331,-8
1615,0.00128,0.00171,0.04,0.50,333,-8
1641,0.00191,0.00146,0.04,0.51,332,-8
1667,0.00160,0.00146,0.04,0.52,333,-8
1693,0.00223,0.00171,0.04,0.53,334,-8
1719,0.00191,0.00146,0.05,0.54,332,-9
1745,0.00128,0.00146,0.05,0.55,335,-9
1771,0.00096,0.00171,0.05,0.56,333,-9
1797,0.00160,0.00171,0.05,0.57,334,-9
1822,0.00128,0.00146,0.05,0.57,333,-9
1848,0.00128,0.00146,0.05,0.58,332,-9
1872,0.00191,0.00171,0.05,0.59,332,-9
1898,0.00191,0.00171,0.06,0.60,334,-9
1924,0.00191,0.00171,0.06,0.61,333,-9
1950,0.00128,0.00146,0.06,0.61,332,-9
1976,0.00191,0.00171,0.06,0.62,333,-10
