waktu(ms),kec_motor_kiri,kec_motor_kanan,x,y,kompas,heading
193749,0.00,0.00,0.00,0.00,1,0
193850,0.03,0.02,-0.00,0.01,1,0
193951,0.02,0.02,-0.00,0.03,1,0
194052,0.02,0.02,-0.00,0.05,-1,0
194153,0.01,0.02,0.00,0.07,4,0
194254,0.02,0.02,0.00,0.09,17,0
194355,0.01,0.02,0.00,0.11,2,0
194456,0.01,0.01,0.00,0.12,1,0
194557,0.01,0.01,0.00,0.13,0,0
194658,0.02,0.02,0.00,0.15,10,0
194759,0.02,0.02,0.00,0.16,5,0
194860,0.02,0.02,0.00,0.18,0,0
194961,0.02,0.02,0.00,0.20,1,0
195062,0.02,0.02,0.00,0.22,1,0
195163,0.02,0.02,0.00,0.23,8,0
195264,0.01,0.01,0.00,0.25,22,0
195365,0.01,0.01,0.00,0.26,9,0
195466,0.01,0.01,0.00,0.27,1,0
195567,0.01,0.01,0.00,0.28,0,0
195668,0.02,0.02,0.00,0.29,11,0
195769,0.03,0.02,0.00,0.31,1,0
195870,0.01,0.02,0.00,0.32,7,0
195971,0.02,0.02,0.00,0.34,2,-1
196072,0.01,0.02,0.00,0.35,19,-1
196173,0.02,0.02,0.00,0.37,-3,-1
196274,0.02,0.01,0.00,0.38,5,-1
196375,0.01,0.01,0.00,0.39,16,-1
196476,0.01,0.01,0.00,0.40,-2,-1
196577,0.00,0.01,0.00,0.41,0,0
196678,0.02,0.01,0.00,0.42,10,0
196779,0.00,0.02,0.00,0.43,12,0
196880,0.01,0.01,0.01,0.44,1,0
196981,0.00,0.01,0.01,0.46,9,0
197082,0.01,0.01,0.01,0.47,2,0
197183,0.02,0.02,0.01,0.48,0,0
197284,0.01,0.01,0.01,0.49,1,0
197385,0.01,0.01,0.01,0.50,1,-1
197486,0.01,0.01,0.01,0.51,1,-1
197587,0.00,0.01,0.01,0.52,0,-1
197688,0.01,0.01,0.01,0.53,-2,-2
197789,0.01,0.01,0.01,0.54,0,-2
197890,-0.01,0.01,0.01,0.55,0,-2
197991,0.01,0.01,0.01,0.56,3,-2
198092,0.01,0.00,0.01,0.56,0,-2
198193,0.01,0.01,0.01,0.57,6,-2
198294,0.01,0.01,0.01,0.58,0,-3
198395,0.01,0.01,0.01,0.58,1,-2
198496,0.01,0.01,0.01,0.59,-1,-2
198596,0.01,0.01,0.01,0.60,16,-2
198697,0.02,0.01,0.01,0.61,16,-2
198798,0.01,0.01,0.01,0.62,4,-2
198899,0.01,0.01,0.01,0.63,9,-1
199000,0.01,0.01,0.01,0.64,-1,-1
199101,0.01,0.01,0.01,0.65,9,-1
199202,0.01,0.01,0.01,0.66,10,0
199303,0.01,0.01,0.01,0.67,1,0
199404,0.01,0.01,0.01,0.68,7,0
199505,0.01,0.01,0.01,0.68,6,0
199606,0.01,0.01,0.01,0.69,4,0
199707,0.01,0.01,0.01,0.70,-1,0
199808,0.01,0.01,0.01,0.71,1,0
199909,0.02,0.01,0.01,0.72,2,-1
200010,0.01,0.01,0.01,0.73,0,-1
200111,0.01,0.01,0.01,0.73,5,-1
200212,0.01,0.01,0.01,0.74,0,-1
200313,0.01,0.01,0.01,0.75,1,-1
200414,0.01,0.01,0.01,0.75,0,-1
200515,0.02,0.01,0.01,0.76,18,-1
200616,0.01,0.01,0.01,0.77,18,-1
200717,0.01,0.01,0.01,0.77,1,-1
200818,0.01,0.01,0.01,0.78,1,-1
200919,0.01,0.00,0.01,0.78,-1,-1
201020,0.01,0.01,0.01,0.79,1,-1
201121,0.01,0.01,0.01,0.79,1,-1
201222,0.01,0.01,0.01,0.80,0,-1
201323,0.01,0.01,0.01,0.81,5,-1
201424,0.00,0.01,0.01,0.82,0,-1
201525,0.00,0.01,0.01,0.82,7,0
201626,0.01,0.01,0.01,0.83,0,0
201727,0.01,0.01,0.01,0.84,1,0
201828,0.01,0.01,0.01,0.84,0,0
201929,0.01,0.01,0.01,0.85,1,0
202030,0.01,0.01,0.01,0.85,0,0
202131,0.01,0.00,0.01,0.86,1,0
202232,0.00,0.01,0.01,0.86,0,1
202333,0.01,0.01,0.01,0.87,3,1
202434,0.01,0.01,0.01,0.87,8,1
202535,0.01,0.01,0.01,0.88,0,1
202636,0.01,0.01,0.01,0.88,0,2
202737,0.01,0.01,0.01,0.89,13,2
202838,0.00,0.01,0.01,0.89,0,2
202939,0.01,0.00,0.01,0.90,0,2
203040,0.00,0.01,0.01,0.90,1,2
203141,0.01,0.01,0.01,0.90,1,3
203242,0.01,0.01,0.01,0.91,4,3
203343,-0.01,0.00,0.01,0.91,-2,3
203443,0.01,0.01,0.01,0.91,-2,3
203544,0.00,0.00,0.01,0.91,15,3
203645,0.00,0.00,0.01,0.91,1,3
203746,0.00,0.00,0.01,0.91,-5,3
